cityA,cityB,dist
Bologna,Cagliari,5.592396623988681
Bologna,Catania,7.9840841678930214
Bologna,Florence,0.8321658488546603
Bologna,Messina,7.435758199403741
Bologna,Milano,2.317412350014562
Bologna,Napoli,4.802770034053264
Bologna,Palermo,6.546220283491839
Bologna,Rome,2.967439974119104
Bologna,Torino,3.861567039428425
Bologna,Venice,1.379021392147344
Bologna,Trento,1.7456230979223455
Bologna,Trieste,2.495776432295171
Bologna,Genova,2.6506791582535976
Bologna,Bari,6.215223246191561
Cagliari,Catania,6.2978488390878375
Cagliari,Florence,4.812151286067387
Cagliari,Messina,6.3852642858381365
Cagliari,Milano,6.130522000613001
Cagliari,Napoli,5.307212074149667
Cagliari,Palermo,4.326950427263988
Cagliari,Rome,4.050308630215729
Cagliari,Torino,6.106078938238515
Cagliari,Venice,6.8833857947960455
Cagliari,Trento,7.185659329525719
Cagliari,Trieste,7.644462047783354
Cagliari,Genova,5.111653352879089
Cagliari,Bari,7.732173045140675
Catania,Florence,7.299239686433103
Catania,Messina,0.857029754442635
Catania,Milano,9.948065138508095
Catania,Napoli,3.331095915761059
Catania,Palermo,1.9853966858036218
Catania,Rome,5.053721401106319
Catania,Torino,10.868509557432429
Catania,Venice,8.454827023659327
Catania,Trento,9.603541013605348
Catania,Trieste,8.234955980453089
Catania,Genova,9.501773518664821
Catania,Bari,4.04645523884795
Florence,Messina,6.797205308065955
Florence,Milano,2.7272146963523083
Florence,Napoli,4.221575535271163
Florence,Palermo,5.783156577510243
Florence,Rome,2.2466419385384935
Florence,Torino,4.0469494684268055
Florence,Venice,2.075234926460133
Florence,Trento,2.571244834705556
Florence,Trieste,2.9973655099103307
Florence,Genova,2.7020362691866304
Florence,Bari,5.881912954133203
Messina,Milano,9.491959755498335
Messina,Napoli,2.6699999999999986
Messina,Palermo,2.110379112861004
Messina,Rome,4.576658169450718
Messina,Torino,10.516320649352604
Messina,Venice,7.8050880840641375
Messina,Trento,9.001805374479055
Messina,Trieste,7.5066503848254476
Messina,Genova,9.132896583231412
Messina,Bari,3.190250773842082
Milano,Napoli,6.94661068435536
Milano,Palermo,8.29916863306199
Milano,Rome,4.915658653730955
Milano,Torino,1.706956355622486
Milano,Venice,3.0900647242412256
Milano,Trento,2.102189334955346
Milano,Trieste,4.3511492734678745
Milano,Genova,1.176477794095578
Milano,Bari,8.522452698607369
Napoli,Palermo,2.6148040079516455
Napoli,Rome,2.126146749403719
Napoli,Torino,8.12086818018862
Napoli,Venice,5.138491996685409
Napoli,Trento,6.334745456606762
Napoli,Trieste,4.9200508127457425
Napoli,Genova,6.728513951832159
Napoli,Bari,2.425530869727285
Palermo,Rome,3.589888577658085
Palermo,Torino,9.067574096747157
Palermo,Venice,7.26199008536916
Palermo,Trento,8.254901574216374
Palermo,Trieste,7.313938747350844
Palermo,Genova,7.732043714309951
Palermo,Bari,4.459820624195551
Rome,Torino,6.005364268718427
Rome,Venice,3.7213438432910215
Rome,Trento,4.66507234670589
Rome,Trieste,4.011383801133971
Rome,Genova,4.612764897542473
Rome,Bari,4.246092321181911
Torino,Venice,4.785060083217346
Torino,Trento,3.7845078940332524
Torino,Trieste,6.049561967613855
Torino,Genova,1.3926952286842935
Torino,Bari,9.928287868509855
Venice,Trento,1.3730622709840947
Venice,Trieste,1.2657013865837412
Venice,Genova,3.7802116342871575
Venice,Bari,6.018180788244898
Trento,Trieste,2.479455585405796
Trento,Genova,3.088705230351383
Trento,Bari,7.375866050844469
Trieste,Genova,5.030864736802213
Trieste,Bari,5.285801736728309
Genova,Bari,8.56799276376912
